c808cdc3-6565-4d79-a324-41d7a7417893
SubClient Configuration Information
Generated on: Feb 23, 2023, 1:17:18 AM

Subclient Properties
"Company","Client","Agent","Instance","Backup Set","Subclient"
"CommServ","ahppdwclus01n01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwclus01n02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwhresb","SQL Server","AHPPDWHRESB","defaultBackupSet","default"
"CommServ","ahppdwhresb","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPDWHRPVSQL01","SQL Server","AHPPDWHRPVSQL01\HRPP","defaultBackupSet","default"
"CommServ","AHPPDWHRPVSQL01","SQL Server","AHPPDWHRPVSQL01\HRPP","defaultBackupSet","Repli _Backup"
"CommServ","AHPPDWHRPVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPDWHRPVSQL02","SQL Server","AHPPDWHRPVSQL02\HRPE","defaultBackupSet","06:00 AM backup"
"CommServ","AHPPDWHRPVSQL02","SQL Server","AHPPDWHRPVSQL02\HRPE","defaultBackupSet","default"
"CommServ","AHPPDWHRPVSQL02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPDWINFA01","SQL Server","AHPPDWINFA01","defaultBackupSet","default"
"CommServ","AHPPDWINFA01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwintetl01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPDWINTVSQL01","SQL Server","AHPPDWINTVSQL01\INTP","defaultBackupSet","06:00 AM backup"
"CommServ","AHPPDWINTVSQL01","SQL Server","AHPPDWINTVSQL01\INTP","defaultBackupSet","default"
"CommServ","AHPPDWINTVSQL01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","AHPPDWINTVSQL02","SQL Server","AHPPDWINTVSQL02\INTE","defaultBackupSet","06:00 AM backup"
"CommServ","AHPPDWINTVSQL02","SQL Server","AHPPDWINTVSQL02\INTE","defaultBackupSet","default"
"CommServ","AHPPDWINTVSQL02","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwintvsql03","SQL Server","AHPPDWINTVSQL03","defaultBackupSet","default"
"CommServ","ahppdwintvsql03","SQL Server","AHPPDWINTVSQL03","defaultBackupSet","IDS"
"CommServ","ahppdwintvsql03","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdwmoveit01","SQL Server","AHPPDWMOVEIT01","defaultBackupSet","default"
"CommServ","ahppdwmoveit01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdworahyp01","SQL Server","AHPPDWORAHYP01\HYPPRODSQL","defaultBackupSet","default"
"CommServ","ahppdworahyp01","Windows File System","DefaultInstanceName","defaultBackupSet","default"
"CommServ","ahppdworahyp11","SQL Server","AHPPDWORAHYP11","defaultBackupSet","default"
"CommServ","ahppdworahyp11","Windows File System","DefaultInstanceName","defaultBackupSet","default"
