SubClient Configuration Information
Generated on: Feb 24, 2023, 5:29:07 AM

Subclient Retention Details
"Client","Agent","Instance","Subclient","Retention Policy","Primary Retention"
"AHPPDWHRPVSQL01","SQL Server","AHPPDWHRPVSQL01\HRPP","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWHRPVSQL01","SQL Server","AHPPDWHRPVSQL01\HRPP","Repli _Backup","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWHRPVSQL01","Windows File System","","default","",""
"AHPPDWHRPVSQL02","SQL Server","AHPPDWHRPVSQL02\HRPE","06:00 AM backup","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWHRPVSQL02","SQL Server","AHPPDWHRPVSQL02\HRPE","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWHRPVSQL02","Windows File System","","default","",""
"AHPPDWINFA01","SQL Server","AHPPDWINFA01","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWINFA01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwintetl01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWINTVSQL01","SQL Server","AHPPDWINTVSQL01\INTP","06:00 AM backup","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWINTVSQL01","SQL Server","AHPPDWINTVSQL01\INTP","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWINTVSQL01","Windows File System","","default","",""
"AHPPDWINTVSQL02","SQL Server","AHPPDWINTVSQL02\INTE","06:00 AM backup","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWINTVSQL02","SQL Server","AHPPDWINTVSQL02\INTE","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWINTVSQL02","Windows File System","","default","",""
"ahppdwintvsql03","SQL Server","AHPPDWINTVSQL03","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwintvsql03","SQL Server","AHPPDWINTVSQL03","IDS","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwintvsql03","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwmoveit01","SQL Server","AHPPDWMOVEIT01","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwmoveit01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdworahyp11","SQL Server","AHPPDWORAHYP11","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdworahyp11","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwpre02n01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwpre02n02","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWPSFVSQL01","Windows File System","","default","",""
"ahppdwpsfvsql03","SQL Server","AHPPDWPSFVSQL03","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwpsfvsql03","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwstepwse01","SQL Server","AHPPDWSTEPWSE01","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwstepwse01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwvrnssql01","SQL Server","AHPPDWVRNSSQL01","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwvrnssql01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMAQUALYS02","Virtual Server","VMInstance","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMLCMAPUPP01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMLCMAPUPP02","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMLJUMP03","Linux File System","","default","",""
"ahppmlnfs01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWITCONSOLE","Virtual Server","VMInstance","default","SP_PTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWJUMP01","Virtual Server","VMInstance","default","SP_PTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWJUMP02","Virtual Server","VMInstance","default","SP_PTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWJUMP02","Windows File System","","default","",""
"ahppmwnfsbkup","Windows File System","","default","SP_PTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWNTTJUMP12","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWNTTJUMP13","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWNTTJUMP14","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWNTTJUMP15","Windows File System","","default","SP_FTCData_Dev","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPMWNTTJUMP16","Windows File System","","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppmworahyp11","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
