Backup job summary
 Report generated on Nov 10, 2022, 9:33:02 AM

Job Details
"Job ID","Server","Agent","HyperVisor Type","Subclient","Type","Backup Type","Application Size","Media Size","Job status","Failure Reason","Throughput (GB/Hour)","VM Operating System","VM Datastore","Retain Data Until"
"2563940","AHPTDWHRPVSQL01","SQL Server","N/A","default","Backup","Transaction Log","9831376","131855","Completed","","1.370","","","Dec 10, 2022, 08:00:13 AM"
"2563939","AHPTDWAXMVSQL01","SQL Server","N/A","default","Backup","Transaction Log","6160994","86051","Completed","","1.220","","","Dec 10, 2022, 08:00:13 AM"
"2563938","AHPDDWHRPVSQL01","SQL Server","N/A","default","Backup","Transaction Log","11534824","321269","Completed","","2.580","","","Dec 10, 2022, 08:00:13 AM"
"2563937","AHPDDWAXMVSQL01","SQL Server","N/A","default","Backup","Transaction Log","18547420","1515190","Completed","","3.110","","","Dec 10, 2022, 08:00:12 AM"
"2563936","ahpddwinfa01","SQL Server","N/A","default","Backup","Transaction Log","46860680","6684113","Completed","","3.340","","","Dec 10, 2022, 08:00:12 AM"
"2563935","ahppdwacurpts","SQL Server","N/A","default","Backup","Transaction Log","4850152","66040","Completed","","0.070","","","Nov 24, 2022, 08:00:12 AM"
"2563934","ahppdwacuity","SQL Server","N/A","default","Backup","Transaction Log","7209692","100094","Completed","","0.070","","","Nov 24, 2022, 08:00:12 AM"
"2563933","AHPPDWHRPVSQL01","SQL Server","N/A","Repli _Backup","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 08:00:12 AM"
"2563932","AHPPDWHRPVSQL01","SQL Server","N/A","default","Backup","Transaction Log","6292066","91472","Completed","","1.760","","","Nov 24, 2022, 08:00:12 AM"
"2563931","AHPPDWAXMVSQL01","SQL Server","N/A","default","Backup","Transaction Log","15401326","1720811","Completed","","5.160","","","Nov 24, 2022, 08:00:12 AM"
"2563930","ahpdawautomic","SQL Server","N/A","default","Backup","Transaction Log","24838388","5951776","Completed","","4.630","","","Dec 10, 2022, 08:00:12 AM"
"2563929","ahp0414","SQL Server","N/A","default","Backup","Transaction Log","6750574","603707","Completed","","0.100","","","Nov 24, 2022, 08:00:12 AM"
"2563928","miapdwfarm01","SQL Server","N/A","ERPM_DB","Backup","Transaction Log","6619380","598771","Completed","","2.020","","","Nov 24, 2022, 08:00:17 AM"
"2563927","ahp0435","SQL Server","N/A","default","Backup","Transaction Log","2097396","26368","Completed","","0.640","","","Nov 24, 2022, 08:00:12 AM"
"2563926","gnvpawtfs","SQL Server","N/A","default","Backup","Transaction Log","7340764","100985","Completed","","0.070","","","Nov 24, 2022, 08:00:12 AM"
"2563925","ahp0213","SQL Server","N/A","default","Backup","Transaction Log","82385706","1421327","Completed","","3.100","","","Nov 24, 2022, 08:00:11 AM"
"2563924","ahp0926","SQL Server","N/A","default","Backup","Transaction Log","116206430","2440338","Completed","","1.500","","","Nov 24, 2022, 08:00:11 AM"
"2563923","miatdwvsql01","SQL Server","N/A","default","Backup","Transaction Log","34735056","1060454","Completed","","4.480","","","Dec 10, 2022, 08:00:10 AM"
"2563922","ahppdwhresb","SQL Server","N/A","default","Backup","Transaction Log","48435618","804183","Completed","","1.750","","","Dec 10, 2022, 08:00:10 AM"
"2563921","miapdwcm01","SQL Server","N/A","default","Backup","Transaction Log","101057000","13966279","Completed","","30.800","","","Nov 24, 2022, 08:00:10 AM"
"2563920","miapdwalmdb","SQL Server","N/A","default","Backup","Transaction Log","10224470","461666","Completed","","2.450","","","Nov 24, 2022, 08:00:10 AM"
"2563919","ahp0751","SQL Server","N/A","default","Backup","Transaction Log","262466568924","3941707866","Completed","","530.750","","","Nov 24, 2022, 08:00:10 AM"
"2563918","gnvpdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","71827944","18458967","Completed","","0.910","","","Nov 24, 2022, 08:00:10 AM"
"2563917","gnvpdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","3539310","44642","Completed","","0.060","","","Nov 24, 2022, 08:00:10 AM"
"2563916","gnvpdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","9110236","253987","Completed","","0.090","","","Nov 24, 2022, 08:00:10 AM"
"2563915","ahpddwacuity","SQL Server","N/A","default","Backup","Transaction Log","139855410","27012934","Completed","","11.720","","","Dec 10, 2022, 08:00:17 AM"
"2563914","miapdwfarm02","SQL Server","N/A","default","Backup","Transaction Log","4850030","92111","Completed","","0.080","","","Nov 24, 2022, 08:00:10 AM"
"2563913","miapdwfarm02","SQL Server","N/A","default","Backup","Transaction Log","92083936","2108410","Completed","","0.140","","","Nov 24, 2022, 08:00:10 AM"
"2563912","ahp0494","SQL Server","N/A","default","Backup","Transaction Log","1179770","17737","Completed","","0.570","","","Nov 24, 2022, 08:00:10 AM"
"2563911","ahp0758","SQL Server","N/A","default","Backup","Transaction Log","4129134","94569","Completed","","1.380","","","Nov 24, 2022, 08:00:10 AM"
"2563910","miapdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","92537808","13947350","Completed","","19.390","","","Nov 24, 2022, 08:00:08 AM"
"2563909","miapdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","10093276","193675","Completed","","2.420","","","Nov 24, 2022, 08:00:08 AM"
"2563908","gnvtdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","111018472","33004305","Completed","","17.720","","","Dec 10, 2022, 08:00:08 AM"
"2563907","gnvtdwfarm01","SQL Server","N/A","default","Backup","Transaction Log","4981224","69190","Completed","","0.840","","","Dec 10, 2022, 08:00:08 AM"
